title,page_id,lastrevid,talkid,length,url,watched,watchers
Fazia Dahleb,73546432,1244337610,73560652,1983.0,https://en.wikipedia.org/wiki/Fazia_Dahleb,,
Taha Derbal,73643212,1213344636,73670341,2603.0,https://en.wikipedia.org/wiki/Taha_Derbal,,
Nassim Diafat,72382864,1213342432,72412310,3179.0,https://en.wikipedia.org/wiki/Nassim_Diafat,,
Mokhtar Didouche,73784749,1227200392,73785624,3097.0,https://en.wikipedia.org/wiki/Mokhtar_Didouche,,
Bouras Djamel,67257964,1226437538,67318729,1608.0,https://en.wikipedia.org/wiki/Bouras_Djamel,,
Fatiha Serour,40934630,1218302579,43839491,2588.0,https://en.wikipedia.org/wiki/Fatiha_Serour,,
Ahmed Hamiani,77040115,1226452639,77040294,2544.0,https://en.wikipedia.org/wiki/Ahmed_Hamiani,,
Nadir Kassab,76992156,1226271746,77011094,2923.0,https://en.wikipedia.org/wiki/Nadir_Kassab,,
Brahim Djamel Kassali,71905761,1172500304,71919757,4953.0,https://en.wikipedia.org/wiki/Brahim_Djamel_Kassali,,
Kaoutar Krikou,71943076,1213795388,71997007,1903.0,https://en.wikipedia.org/wiki/Kaoutar_Krikou,,
Sassi Lamouri,59079334,1181986973,59079336,1835.0,https://en.wikipedia.org/wiki/Sassi_Lamouri,,
Mohamed Maghlaoui,59103344,1053469610,59103353,921.0,https://en.wikipedia.org/wiki/Mohamed_Maghlaoui,,
Amar Makhloufi,59046398,1235394946,59046401,1013.0,https://en.wikipedia.org/wiki/Amar_Makhloufi,,
Yassine Merabi,71926661,1214841607,71997242,2234.0,https://en.wikipedia.org/wiki/Yassine_Merabi,,
Brahim Merad,71800445,1244511083,71802463,4180.0,https://en.wikipedia.org/wiki/Brahim_Merad,,
Bachir Messaitfa,72067076,1186318318,72107554,1306.0,https://en.wikipedia.org/wiki/Bachir_Messaitfa,,
Azzedine Mihoubi,52461596,1233387309,52461599,4331.0,https://en.wikipedia.org/wiki/Azzedine_Mihoubi,,
Mohamed Ali Boughazi,76216650,1213870570,76239606,3549.0,https://en.wikipedia.org/wiki/Mohamed_Ali_Boughazi,,
Amar Mohammedi,76863557,1226279231,None,3455.0,https://en.wikipedia.org/wiki/Amar_Mohammedi,,
Samia Moualfi,72004676,1212181372,72004790,2076.0,https://en.wikipedia.org/wiki/Samia_Moualfi,,
Soraya Mouloudji,71935626,1226335614,71997178,2262.0,https://en.wikipedia.org/wiki/Soraya_Mouloudji,,
Yacine Oualid,72058737,1214837789,72060221,3437.0,https://en.wikipedia.org/wiki/Yacine_Oualid,,
Cherif Rahmani,59103471,1053461144,59103482,997.0,https://en.wikipedia.org/wiki/Cherif_Rahmani,,
Lakhdar Rakhroukh,71984452,1186317568,71997037,2145.0,https://en.wikipedia.org/wiki/Lakhdar_Rakhroukh,,
Laid Rebiga,71856593,1248662394,71919927,1916.0,https://en.wikipedia.org/wiki/Laid_Rebiga,,
Kamel Rezig,71976718,1215901775,71978313,2763.0,https://en.wikipedia.org/wiki/Kamel_Rezig,,
Salim Saadi,75534043,1229426851,75535004,3614.0,https://en.wikipedia.org/wiki/Salim_Saadi,,
Abdelhak Saihi,71993130,1218004839,71995504,2018.0,https://en.wikipedia.org/wiki/Abdelhak_Saihi,,
Hichem Sofiane Salaouatchi,72040941,1212186286,72054410,2593.0,https://en.wikipedia.org/wiki/Hichem_Sofiane_Salaouatchi,,
